Level,Emoji,Phrase,Meaning
N2,⚖️,ni suginai (に過ぎない（にすぎない）),no more than; just; merely; only ~
N2,➡️,ni tomonatte (に伴って（にともなって）),as; due to; with; along with; following; accordingly ~
N2,🤔,ni tsuke (につけ),every time; whenever; as; whether; in (either case)​
N2,💡,ni tsuki (につき),due to; because of; per; each
N2,📤,ni watatte (にわたって),throughout; over a period of ~
N2,🔀,nimo kakawarazu (にも関わらず（にもかかわらず）),despite; in spite of; nevertheless; although ~
N2,📍,nite (にて),in; at; with; by (formal particle)
N2,💭,no mo motto mo da (のももっともだ),no wonder; …is only natural
N2,⬇️,no moto de (の下で（のもとで）),under; with ~
N2,➡️,no ue de wa (の上では（のうえでは）),according to; from the viewpoint of ~
N2,⚠️,nomi (のみ),only; nothing but​
N2,❌,nominarazu (のみならず),not only; besides; as well as ~
N2,📍,nu (ぬ),negative verb conjugation; traditional version of ない
N2,📥,nuki ni shite / nuki de (抜きにして / 抜きで（ぬきにして/ ぬきで）),without; leaving out; cutting out ~
N2,🔥,nuku (抜く（ぬく）),to do something from beginning to end; completely; extremely ~
N2,💫,o keiki ni (を契機に（をけいきに）),as a good opportunity/chance to; as a result of; make the best of ~
N2,📋,o megutte (をめぐって),concerning; in regard to ~
N2,⬅️,o moto ni (をもとに),based on; derived from; building on; beginning with ~
N2,📥,o nozoite (を除いて（をのぞいて）),except; with the exception of; excluding ~
N2,🚫,o towazu (を問わず（をとわず）),regardless of; irrespective of; no matter
N2,➡️,o~negau (お～願う（お～ねがう）),please do; could you please…; I ask of you to ~
N2,➕,omake ni (おまけに),to make matters worse; besides; what's more; in addition; on top of that​
N2,📌,osoraku (恐らく（おそらく）),perhaps; likely; probably; I dare say ~
N2,💪,osore ga aru (恐れがある（おそれがある）),it is feared that; to be in danger of; to be liable to ~
N2,➕,oyobi (及び（および）),and; as well as ~
N2,❌,roku ni~nai (ろくに～ない),not well; not enough; improperly; insufficiently; unsatisfactorily​ ~
N2,⚖️,saiwai na koto ni (幸いなことに（さいわいなことに）),fortunately; luckily; thankfully ~
N2,💡,sei ka (せいか),perhaps because ~
N2,⚖️,sekkaku (せっかく),especially; (thank you for) troubling to; going to great pains for ~
N2,🏆,semete (せめて),at least; at most ~
N2,⚡,shidai (次第（しだい）),as soon as; dependent upon
N2,🔚,shidai de (次第で（しだいで）),depending on; so ~
N2,➡️,shidai ni (次第に（しだいに）),gradually (progress into a state); in sequence; in order
N2,➕,shikamo (しかも),moreover; furthermore; and yet; what’s more ~
N2,➕,sono ue (その上（そのうえ）),besides; in addition; furthermore ~
N2,⚠️,sore na noni (それなのに),and yet; despite this; but even so ~
N2,❓,sore nara (それなら),if that’s the case; if so ~
N2,🤔,sore ni shitemo (それにしても),nevertheless; at any rate; even so; be that as it may ~
N2,💭,sou ieba (そう言えば（そういえば）),come to think of it; now that you mention it ~
N2,❓,sou suru to (そうすると),having done that; if that is done; if it is done in that way
N2,⏭️,sue ni (末に（すえに）),finally; after; following; at the end/ conclusion of ~
N2,❌,sukoshi mo~nai (少しも～ない（すこしも～ない）),not one bit; not even a little ~
N2,📍,sukunaku tomo (少なくとも（すくなくとも）),at least ~
N2,⚡,tadachi ni (直ちに（ただちに）),at once; immediately; directly; in person; automatically ~
N2,➡️,tamae (たまえ),do~; order somebody to do something
N2,💪,te bakari wa irarenai (てばかりはいられない),can’t keep doing ~
N2,❓,te demo (てでも),even if I have to; by all means ~
N2,📅,te irai (て以来（ていらい）),since; henceforth ~
N2,❓,te ite wa (ていては),if one keeps doing ~
N2,📅,te koso (てこそ),now that; since (something happened)
N2,➡️,te made (てまで),even; will go far so as to ~
N2,⚠️,te naranai (てならない),can't help but; dying to; extremely ~
N2,⚠️,te tamaranai (てたまらない),can't help but; dying to; extremely ~
N2,📍,te touzen da (て当然だ（てとうぜんだ）),natural; as a matter of course
N2,❓,tewa / dewa (ては / では),whenever; if; when~; repetitive action
N2,💪,tewa irarenai (てはいられない),can’t afford to; unable to ~
N2,💪,tewa naranai (てはならない),must not; cannot; should not ~
N2,📍,tewa~tewa (ては～ては),repetitive situations/actions
N2,⏱️,to douji ni (と同時に（とどうじに）),at the same time as; while; simultaneously ~
N2,📌,to itta (といった),like; such as ~
N2,👉,to iu fuu ni (というふうに),in such a way that ~
N2,💬,to iu koto wa (ということは),that is to say; so that means; in other words ~
N2,📌,to iu mono da (というものだ),something like; something called ~
N2,❌,to iu mono dewa nai (というものではない),there is no guarantee that…; not necessarily ~
N2,💪,to kangaerareru (と考えられる（とかんがえられる）),one can think that; it is conceivable that; considered ~
N2,📍,toka (de) (とか（で）),I heard that ~
N2,✔️,tokku ni (とっくに),long ago; already; a long time ago
N2,🏆,tokoro datta (ところだった),was just about to do something; something almost happened
N2,1️⃣,tokoro ni (ところに),at the time; just as I was ~
N2,📍,tokoro o miru to (ところを見ると（ところをみると）),judging from; seeing that ~
N2,❓,tomo (とも),even if; no matter (who; what; when; where; why; how); though ~
N2,❌,toshite~nai (として～ない),not at all; there is not even one
N2,❓,toshitemo (としても),assuming; even if ~
N2,⏱️,tsutsu (つつ),while; even though; despite ~
N2,➡️,tsutsu aru (つつある),to be doing; to be in the process of doing ~
N2,📅,ue wa (上は（うえは）),now that; since; as long as ~
N2,👌,wa moto yori (はもとより),also; let alone; from the beginning
N2,🤔,wa tomokaku (はともかく),anyhow; anyway; regardless; in any case; whether or not ~
N2,1️⃣,wazuka ni (わずかに),slightly; only; barely; narrowly ~
N2,⏮️,yagate (やがて),before long; soon; almost; eventually ~
N2,➡️,yara~yara (やら～やら),such things as A and B; A and B and so on ~
N2,‼️,yohodo / yoppodo (よほど / よっぽど),very; greatly; much; to a large extent
N2,➡️,yori (より [2]),from~ (a time; place; or person)
N2,⚠️,yori hoka nai (よりほかない),to have no choice but ~
N2,❓,you dewa (ようでは),if ~ (bad result)
N2,👌,you dewa nai ka (ようではないか),let’s do (something); why don’t we ~
N2,🤔,you ka~mai ka (ようか～まいか),whether or not; considering options
N2,➡️,you suru ni (要するに（ようするに）),in short; in a word; to sum up; to put it simply ~
N2,⚠️,zaru o enai (ざるを得ない（ざるをえない）),cannot help (doing); have no choice but to ~
N2,📥,zu ni sumu (ずに済む （ずにすむ）),get by without doing ~
N3,🏁,ageru (上げる（あげる）),to finish doing ~
N3,➡️,amari (あまり),so much… that
N3,➡️,amari ni mo (あまりにも),too much; so much… that; excessively ~
N3,➡️,au (合う（あう）),do something together
N3,❓,ba ii (ばいい),should; can; it’d be good if ~
N3,❓,ba yokatta (ばよかった),should have; would have been better if ~
N3,➕,ba~hodo (ば～ほど),the more… the more ~
N3,❓,ba~noni (ば～のに),would have; should have; if only ~
N3,1️⃣,bakari de (ばかりで),only; just ~ (negative description)
N3,⚠️,bakari denaku (ばかりでなく),not only... but also; as well as ~
N3,‼️,beki da (べきだ),should do; must do ~
N3,‼️,beki dewa nai (べきではない),should not do; must not do ~
N3,⭐,betsu ni~nai (別に～ない（べつに～ない）),not really; not particularly
N3,📥,buri ni (ぶりに),for the first time in (period of time)
N3,⏳,chuu / juu (中（ちゅう）),currently; during; at some point; throughout; before the end of ~
N3,📏,dake (だけ),as much as ~
N3,⚠️,dake de naku (だけでなく),not only… but also ~
N3,⚠️,dakedo (だけど),but; however; although; regarding ~
N3,💪,darake (だらけ),full of; covered with; a lot of (something undesirable)
N3,🚫,donna ni~temo (どんなに～ても),no matter how (much)
N3,⏭️,doushitemo (どうしても),no matter what; at any cost; after all ~
N3,❓,furi o suru (ふりをする),to pretend; to act as if ~
N3,📥,futo (ふと),suddenly; accidentally; unexpectedly; unintentionally ~
N3,🔚,gachi (がち),tend to; tendency to; frequently; often; to do something easily
N3,❓,gatai (がたい),very difficult to; hard to ~
N3,📌,gimi (気味（ぎみ）),-like; -looking; -looked; tending to ~
N3,‼️,goto ni (ごとに),each; every; at intervals of ~
N3,📏,hodo (ほど),degree; extent; bounds; upper limit
N3,❌,hodo~nai (ほど～ない),is not as… as ~
N3,📍,ichido ni (一度に（いちどに）),all at once
N3,🚫,ikura~temo (いくら～ても),no matter how ~
N3,➕,ippou da (一方だ（いっぽうだ）),more and more; continue to ~
N3,❗,ittai (一体（いったい）),emphasis; what on earth; what in the world
N3,📌,janai (じゃない),maybe; most likely; confirmation of information; express surprise towards listener
N3,➡️,ka nani ka (か何か（かなにか）),or something ~
N3,⏳,kakeru (かける),half-; not yet finished; in the middle of~
N3,➡️,kara~ni kakete (から〜にかけて),through; from [A] to [B]
N3,🔄,kawari ni (代わりに（かわりに）),instead of; as a substitute for​; in exchange for; in return for
N3,⏭️,kekka (結果（けっか）),as a result of; after ~
N3,⏭️,kekkyoku (結局（けっきょく）),after all; eventually; in the end ~
N3,🚫,kesshite~nai (決して～ない（けっして～ない）),never; by no means ~
N3,💪,kirenai (切れない（きれない）),unable to do; too much to finish/complete
N3,⏭️,kiri (きり),only; just; since; after ~
N3,👌,kiru (切る（きる）),to do something completely to the end
N3,💪,kke (っけ),a casual suffix to confirm something you are trying to remember
N3,➡️,komu (込む（こむ）),to do something for a long time or to move something inside
N3,✔️,koso (こそ),for sure (emphasize preceding word); precisely; definitely ~
N3,‼️,koto (こと),(must) do
N3,📍,koto kara (ことから),from the fact that ~
N3,💬,koto ni natteiru (ことになっている),expresses a standard; rule or expectation
N3,✅,koto wa nai (ことはない),there is no need to; (something) never happens; there is no possibility that ~
N3,⚠️,koto wa~ga (ことは～が),although; but ~
N3,📏,kurai / gurai (くらい / ぐらい),approximately; about; around; to the extent ~
N3,💪,kuse ni (くせに),and yet; though; in spite of; despite ~
N3,❓,maru de (まるで),as if; as though; just like ~
N3,🎲,masaka (まさか),there's no way; that's impossible; you must be joking
N3,💪,metta ni~nai (めったに～ない),hardly; rarely; seldom
N3,🚫,mo~ba~mo (も～ば～も),and; also; as well; either/or; neither/nor
N3,🤔,moshika shitara (もしかしたら),perhaps; maybe; perchance; by any chance ~
N3,❓,moshimo~tara (もしも〜たら),if; in the case; supposing ~
N3,🔚,muke (向け（むけ）),intended for; aimed at ~
N3,💪,muki (向き（むき）),suitable for ~
N3,⬆️,mushiro (むしろ),rather; instead; better ~
N3,⚠️,nagara mo (ながらも),but; although; despite ~
N3,💪,nai koto wa nai (ないことはない),can do; is not impossible to ~
N3,❓,naito (ないと),must do; unless/if you don't ~
N3,↔️,nakanaka (なかなか),very; quite; pretty; rather; just not ~
N3,❓,nanka / nante / nado (なんか / なんて / など),give examples; show modesty; make light of ~
N3,🔁,naosu (直す（なおす）),to do something again; to do over
N3,🎲,naru beku (なるべく),as much as possible
N3,❓,nazenara (なぜなら),because; the reason is; if you want to know why
N3,📍,ndatte (んだって),I hear that; heard that ~
N3,🤔,ni chigai nai (に違いない（にちがいない）),I’m sure/ certain; no doubt that ~
N3,↩️,ni hanshite (に反して（にはんして）),against; contrary to; in contrast to ~
N3,📄,ni kakete (にかけて),over (a period); through; concerning; regarding ~
N3,📋,ni kan suru / ni kan shite (に関する / に関して（にかんする / にかんして）),about; regarding; related to ~
N3,🔄,ni kawatte / ni kawari (にかわって / にかわり),instead of; replacing; on behalf of ~
N3,⚖️,ni kurabete (に比べて（にくらべて）),compared to; in comparison to ~
N3,➡️,ni nareru (に慣れる（になれる）),to be used to something
N3,📄,ni oite / ni okeru (において / における),in; at (place); regarding; as for; in relation to ~
N3,➡️,ni shitagatte (にしたがって),as; therefore; in accordance with; according to; consequently ~
N3,❓,ni shite mo (にしても),even if; even though; regardless of ~
N3,🤔,ni shite wa (にしては),for; considering it’s (something or someone)
N3,🚫,ni taishite (に対して（にたいして）),towards; against; regarding; in contrast with​ ~
N3,📄,ni totte (にとって),to; for; concerning; as far as ... is concerned; regarding ~
N3,📋,ni tsuite (について),concerning; regarding; about; on ~
N3,➡️,ni tsurete (につれて),as; in proportion to; with; as… then ~
N3,🎯,ni wa (には),for the purpose of; in order to ~
N3,➡️,ni yoru to/ni yoreba (によると /によれば),according to ~
N3,💡,ni yotte / ni yoru (によって / による),by means of; due to; owing to; because of ~
N3,❓,no deshou ka (のでしょうか),ask a question in a polite way
N3,🎯,o chuushin ni (を中心に（をちゅうしんに）),focused on; centered on
N3,📥,o hajime (をはじめ),for example; starting with ~
N3,🥛,o komete (を込めて（をこめて）),filled with; full of
N3,📤,o tsuujite / o tooshite (を通じて / を通して（をつうじて / をとおして）),through; via; throughout; by ~
N3,💡,okage de (おかげで),thanks to; owing to; because of ~
N3,⏸️,ppanashi (っぱなし),leaving (something) on; leaving (something) still in use​
N3,📌,ppoi (っぽい),seems like; somewhat; -ish; easily does; often does ~
N3,❌,sae (さえ),even; so much as; not even
N3,❓,sae~ba (さえ～ば),if only; as long as ~
N3,⏰,sai ni (際に（さいに）),when; at the time of; in the case of ~
N3,⏱️,saichuu ni (最中に（さいちゅうに）),while; during; in the middle of ~
N3,➕,sara ni (さらに),furthermore; again; more and more ~
N3,🚫,sate (さて),conjunction: well; now; then ~
N3,💡,sei de (せいで),because of; due to; as a result of ~
N3,🏆,seizei (せいぜい),at the most; at best; to the utmost
N3,⏱️,shibaraku (しばらく),for a moment; for a while; for the time being
N3,⚠️,shikanai (しかない),have no choice but ~
N3,💡,sono tame ni (そのために),hence; for that reason; because of ~
N3,🔀,soretomo (それとも),or; or else ~
N3,📌,sou mo nai /sou ni nai (そうもない /そうにない),very unlikely to; showing no signs of ~
N3,✔️,sude ni (すでに),something has already been done/taken place; is already the case
N3,📥,sunawachi (すなわち),in other words; namely ~
N3,📍,suuryou + wa (数量 + は（すうりょう + は）),at least ~
N3,➡️,ta mono da (たものだ),used to do; would often do
N3,⚡,ta totan (たとたん),as soon as; just as ~
N3,⏰,tabi ni (たびに),whenever; every time ~
N3,💡,tame ni (ために),for; in order to; for the benefit of; because of; as a result of ~
N3,✔️,tashika ni (確かに（たしかに）),surely; certainly ~
N3,1️⃣,tate (たて),just done; freshly done; newly done
N3,❓,tatoe~temo (たとえ～ても),even if… is the case
N3,📥,tatoeba (例えば（たとえば）),for example; for instance ~
N3,❓,tatte (たって),even if; even though; no matter how ~
N3,⚠️,te bakari iru (てばかりいる),only; nothing but ~
N3,💪,te goran (てごらん),(please) try to; (please) look
N3,⏭️,te hajimete (てはじめて),not until; only after [x] did I
N3,💪,te kara de nai to (てからでないと),must first do; cannot do without first doing ~
N3,⚠️,te shou ga nai/te shikata ga nai (てしょうがない・てしかたがない),can't help but; very; extremely ~
N3,🚫,te sumu (て済む（てすむ）),sufficient by; no problem to; resolve by ~
N3,🎯,te wa ikenai kara (てはいけないから),in order to not~; to prevent a negative situation
N3,🚫,teiru baai janai (ている場合じゃない（ているばあいじゃない）),this is no time to be doing ~
N3,🔄,teki (的（てき）),change noun into na-adjective or adverb
N3,❓,temo hajimaranai (ても始まらない（てもはじまらない）),even if you... it’s no use; there is no point to ~
N3,❓,temo kamawanai (ても構わない（てもかまわない）),it doesn't matter if ~
N3,💪,temo shou ga nai / temo shikata ga nai (てもしょうがない / てもしかたがない),there's no point to~; it's no use to~; it cannot be helped
N3,❓,to ieba (と言えば（といえば）),speaking of; when you talk of; when you say; if it were the case that ~
N3,❓,to ii / tara ii (といい / たらいい),it would be nice if; should; I hope ~
N3,🔀,to ittemo (といっても),although I say; although one might say ~
N3,📍,to iu koto da (ということだ),I heard; it means that; in other words ~
N3,💡,to iu nowa (というのは),this means; the meaning of … is; because; that is to say ~
N3,⏰,to iu to (と言うと（というと）),speaking of; when you talk of; when you say ~
N3,⚖️,to iu yori (というより),rather than ~
N3,👀,to mieru / to miete (とみえる / とみえて),it seems that ~
N3,❓,to sureba / to shitara / to suru to (とすれば・としたら・とすると),in the case of~; assuming~; if A then B
N3,⏲️,to tomo ni (と共に（とともに）),together with; at the same time as; as well as ~
N3,📥,tochuu de / tochuu ni (途中で/途中に（とちゅうで/とちゅうに）),on the way; in the middle of ~
N3,🛤️,tokoro de (ところで),by the way ~
N3,⚠️,tokoro ga (ところが),even so; however; even though ~
N3,📥,toori ni (とおりに),in the same way as; in the way; as ~
N3,⏸️,toosu (通す（とおす）),to do until the end; to continually do; through ~
N3,📥,toshite (として),as; in the role of ~
N3,💪,totemo~nai (とても～ない),cannot possibly be; hardly ~
N3,❌,towa kagiranai (とは限らない（とはかぎらない）),not necessarily so; is not always true
N3,📥,tsui (つい),accidentally; unintentionally; by mistake
N3,🔚,tsui ni (ついに),finally; at last; in the end ~
N3,⏱️,tsuide ni (ついでに),while; incidentally; at the same time; on the way ~
N3,📥,tsumari (つまり),in other words; in summary; in short ~
N3,🔚,tsumori datta (つもりだった),I thought I~; I believe I~; was planning to~; was intending to ~
N3,📥,tsumori de (つもりで),with the intention of doing ~
N3,⏱️,uchi ni (うちに),while; before ~
N3,⏰,ue de (上で（うえで）),upon; after; when; for; in order to
N3,⚠️,ue ni (上に（うえに）),as well; besides; in addition to; not only… but also ~
N3,🤔,wa betsu toshite (は別として（はべつとして）),aside from; apart from; except for; whether or not ~
N3,⚠️,wa mochiron (はもちろん),not to mention; not only ... but also ~
N3,➡️,wa~de yuumei (は～で有名（は～でゆうめい）),famous for ~
N3,🧠,wake da (わけだ),for that reason; no wonder; as you’d expect; the fact is; so you mean ~
N3,❌,wake dewa nai (わけではない),it doesn’t mean that; it is not the case that; I don’t mean that; it is not true that ~
N3,🎲,wake ga nai (わけがない),there is no way that; it is impossible to ~
N3,⚠️,wake niwa ikanai (わけにはいかない),must not; cannot afford to; must; have no choice but to ~
N3,💪,wari ni (割に（わりに）),considering ~; for ~; despite ~
N3,🎯,wazato (わざと),on purpose; intentionally ~
N3,➡️,wazawaza (わざわざ),to go to the trouble of; to go out of one's way to ~
N3,⚖️,yorimo (よりも),in comparison to; rather than; more than ~
N3,🎲,you ga nai (ようがない),there is no way to; it’s impossible to ~
N3,📌,you na ki ga suru (ような気がする（ようなきがする）),have a feeling that; feels like; seems like; think that ~
N3,🎯,you ni (ように),in order to; so that ~
N3,👀,you ni mieru (ように見える（ようにみえる）),to look; to seem; to appear ~
N3,💪,you to shinai (ようとしない),not try to; not make an effort to ~
N3,💪,you to suru (ようとする),try to; attempt to; be about to ~
N3,📥,zuni (ずに),without doing ~
N3,⚠️,zuni wa irarenai (ずにはいられない),can’t help but feel; can’t help but do; must do ~
N3,📍,zutsu (ずつ),apiece; each; at a time
N4,⏱️,aida (間（あいだ）),while; during; between ~
N4,⏱️,aida ni (間に（あいだに）),while; during~ something happened
N4,‼️,amari~nai (あまり～ない),not very; not much ~
N4,⏭️,ato de (後で（あとで）),after~; later
N4,❓,ba (ば),conditional form; If [A] then [B]
N4,📍,baai wa (場合は（ばあいは）),in the event of; in the case that ~
N4,⚠️,bakari (ばかり),only; nothing but ~
N4,1️⃣,dake de (だけで),just by; just by doing
N4,➡️,dasu (出す（だす）),to begin to; to start to; to burst into; ... out (e.g. to jump out; to carry out)​
N4,❓,de gozaimasu (でございます),to be (honorific)
N4,➡️,demo (でも),... or something; how about~
N4,❓,dewa nai ka (ではないか),right?; isn't it?
N4,✅,ga hitsuyou (が必要（がひつよう）),need; necessary
N4,➡️,ga suru (がする),to smell; hear; taste
N4,🔚,gari (がり),personality (someone tends to; has a tendency to; has a sensitivity to ~)
N4,👁️,garu / gatteiru (がる / がっている),to show signs of; to appear; to feel; to think ~
N4,➡️,gozaimasu (ございます),to be; to exist (the polite form of いる/ある)
N4,➡️,hajimeru (始める（はじめる）),to start; to begin to ~
N4,‼️,hazu da (はずだ),it must be; it should be (expectation)
N4,💪,hazu ga nai (はずがない),cannot be (impossible)
N4,✅,hitsuyou ga aru (必要がある（ひつようがある）),need to; it is necessary to
N4,👌,ikou kei - volitional form (意向形 （いこうけい）),volitional form​; let's do ~
N4,➡️,irassharu (いらっしゃる),to be; to come; to go (polite version)
N4,➡️,itashimasu (いたします),to do (polite form of する)
N4,👌,janai ka (じゃないか),right? isn't it? let's~; confirmation
N4,🤔,ka dou ka (かどうか),whether or not ~
N4,💭,ka shira (かしら),I wonder (feminine)
N4,❓,kai (かい),turns a sentence into a yes/no question
N4,🤔,kamo shirenai (かもしれない),might; perhaps; indicates possibility
N4,💡,kana (かな),I wonder; should I?
N4,⬅️,kara tsukuru (から作る（からつくる）),made from; made with
N4,📌,kitto (きっと),surely; undoubtedly; almost certainly; most likely
N4,⏰,koro / goro (頃（ころ / ごろ）),around; about; when
N4,🚫,koto (こと),Verb nominalizer
N4,⏰,koto ga aru (ことがある),there are times when
N4,💪,koto ga dekiru (ことができる),can; able to
N4,📍,koto ni naru (ことになる),It has been decided that..; it turns out that..
N4,➡️,koto ni suru (ことにする),to decide on
N4,➡️,ku suru (くする),to make something ~
N4,⚡,kyuu ni (急に（きゅうに）),quickly; immediately; hastily; suddenly; abruptly; unexpectedly ~
N4,📍,made ni (までに),by; by the time; indicates time limit
N4,📍,mama (まま),as it is; current state; without changing
N4,↔️,matawa (または),both; or; otherwise​; choice between [A] or [B]
N4,📌,mitai da (みたいだ),like; similar to; resembling ~
N4,📌,mitai na (みたいな),like; similar to ~
N4,📌,mitai ni (みたいに),like; similar to ~
N4,➡️,mo (も),as many as; as much as; up to; nearly ~
N4,❌,na (な),don’t ~ (order somebody to not do something)
N4,📌,nado (など),such as; things like ~
N4,⏱️,nagara (ながら),while; during; as; simultaneously
N4,💪,nakanaka~nai (なかなか～ない),not easy to; struggling to; not able to ~
N4,‼️,nakereba ikenai (なければいけない),must do something; have to do something
N4,‼️,nakereba naranai (なければならない),must do something; have to do something
N4,❓,nara (なら),if; in the case that ~
N4,➡️,nasai (なさい),do this (soft/firm command)
N4,❓,nasaru (なさる),to do (honorific)
N4,❌,ni ki ga tsuku (に気がつく（にきがつく）),to notice; to realize
N4,👀,ni mieru (に見える（にみえる）),to look; to seem; to appear
N4,➡️,ni suru (にする),to make something ~
N4,❓,nikui (にくい),difficult to do ~
N4,📥,no naka de (の中で（のなかで）),in; among ~
N4,🔀,noni (のに),although; in spite of; even though ~
N4,🎯,noni (のに),to (do something); in order to ~
N4,🧠,nowa~da (のは〜だ),[A] is [B]; the reason for [A] is [B]
N4,❓,o~kudasai (お～ください),please do ~ (honorific)
N4,❓,o~ni naru (お～になる),to do (honorific)
N4,‼️,oki ni (おきに),repeated at intervals; every ~
N4,🏁,owaru (終わる（おわる）),to finish; to end~
N4,➡️,rareru (られる),potential form; ability or inability to do something
N4,📌,rashii (らしい),it seems like; I heard; apparently ~
N4,🚫,sa (さ),-ness​ ; nominalizer for adjective
N4,1️⃣,sakki (さっき),some time ago; just now
N4,➡️,saserareru (させられる),causative-passive; to be made to do something
N4,👌,saseru (させる),causative form; to make/let somebody do something
N4,👌,sasete kudasai (させてください),please let me do
N4,➡️,sasuga (さすが),as one would expect; as is to be expected; even ~
N4,➕,shi (し),and; and what’s more ~ (emphasis)
N4,📌,sonna ni (そんなに),so much; so; like that
N4,⚠️,sore demo (それでも),but still; and yet; even so ~
N4,➕,sore ni (それに),besides; in addition; also; moreover ~
N4,📍,sou da [1] (そうだ),I heard that; it is said that ~
N4,📌,sou da [2] (そうだ),looks like; appears like; seeming ~
N4,📌,sou ni / sou na (そうに / そうな),seems like; looks like ~
N4,1️⃣,ta bakari (たばかり),just finished; something just occurred
N4,1️⃣,ta tokoro (たところ),just finished doing; was just doing
N4,📥,tadoushi & jidoushi (他動詞 & 自動詞（たどうし & じどうし）),Transitive & Intransitive Verbs
N4,🙏,tagaru (たがる),wants to do ~ (third person)
N4,❓,tara (たら),if; after; when ~
N4,📋,tara dou (たらどう),why don't you; how about ~ (used to give advice)
N4,💡,tara ii desu ka (たらいいですか),what should I do?; speaker seeking instructions from listener
N4,💡,te / de (て / で),conjunctive particle; so; because of [A]; [B]...
N4,➡️,te ageru (てあげる),to do for; to do a favor
N4,✅,te hoshii (てほしい),I want you to; need you to ~
N4,▶️,te iku (ていく),to start; to continue; to go on
N4,➡️,te ita (ていた),was doing something (past continuous)
N4,🙏,te itadakemasen ka (ていただけませんか),could you please ~
N4,➡️,te kureru (てくれる),to do a favor; do something for someone
N4,🔄,te kuru (てくる),to do… and come back; to become; to continue; to start ~
N4,💪,te miru (てみる),try doing
N4,➡️,te morau (てもらう),to get somebody to do something
N4,➡️,te oku (ておく),to do something in advance
N4,👌,te shimau / chau (てしまう / ちゃう),to do something by accident; to finish completely
N4,➡️,te sumimasen (てすみません),I’m sorry for
N4,➡️,te yaru (てやる),to do for; to do a favor (casual)
N4,📍,te yokatta (てよかった),I’m glad that ~
N4,📥,teiru tokoro (ているところ),in the process of doing
N4,❓,temo (ても),even; even if; even though ~
N4,⏰,to (と),whenever [A] happens; [B] also happens
N4,🤔,to ittemo ii (と言ってもいい（といってもいい）),you could say; one might say; I'd say ~
N4,📞,to iu (という),called; named; that ~
N4,🚫,to iu koto (ということ),convert phrase into noun
N4,📍,to iwarete iru (と言われている（といわれている）),it is said that ~
N4,👂,to kiita (と聞いた（ときいた）),I heard...
N4,💭,to omou (と思う（とおもう）),to think…; I think…; you think…
N4,📌,toka~toka (とか～とか),among other things; such as; like ~
N4,1️⃣,tokoro (ところ),just about to; on the verge of doing something
N4,▶️,tsuzukeru (続ける（つづける）),continue to; keen on ~
N4,📞,tte (って),named; called ~
N4,🔄,ukemi kei (受身形（うけみけい）),passive form; passive voice
N4,⚠️,wa~ga... wa (は〜が… は),[A] but [B]; however; comparison
N4,📌,yasui (やすい),easy to; likely to; prone to; have a tendency to ~
N4,📍,yatto (やっと),at last; finally; barely; narrowly ~
N4,⚖️,yori (より),than; rather than; more than ~
N4,🔚,yotei da (予定だ（よていだ）),plan to; intend to
N4,❓,you da (ようだ),appears; seems; looks as if ~
N4,📌,you ni / you na (ように / ような),like; as; similar to ~
N4,➡️,you ni naru (ようになる),to reach the point that; to come to be that; to turn into ~
N4,💪,you ni suru (ようにする),to try to; to make sure that ~
N4,💭,you to omou (ようと思う（ようとおもう）),thinking of doing; planning to ~
N4,✔️,zehi (ぜひ),by all means; certainly; definitely ~
N4,❌,zenzen~nai (全然～ない（ぜんぜん～ない）),(not) at all
N4,❓,zurai (づらい),difficult to do ~
N5,‼️,cha ikenai / ja ikenai (ちゃいけない・じゃいけない),must not do (spoken Japanese)
N5,➡️,da / desu (だ / です),to be (am; is; are; were; used to)
N5,1️⃣,dake (だけ),only; just; as much as ~
N5,🤔,darou (だろう),I think; it seems; probably; right?
N5,📍,de (で),in; at; on; by; with; via ~
N5,⚠️,demo (でも),but; however; though ~
N5,🤔,deshou (でしょう),I think; it seems; probably; right?
N5,➡️,donna (どんな),what kind of; what sort of
N5,🧠,doushite (どうして),why; for what reason; how
N5,📍,douyatte (どうやって),how; in what way; by what means​
N5,⚠️,ga (が),subject marker; however; but ~
N5,🚫,ga arimasu (があります),there is; is (non-living things)
N5,🙏,ga hoshii (がほしい),to want something
N5,➡️,ga imasu (がいます),there is; to be; is (living things)
N5,⬆️,hou ga ii (ほうがいい),had better; it'd be better to; should ~
N5,📖,i-adjectives (い-adjectives),i-adjectives
N5,🏆,ichiban (一番（いちばん）),the most; the best
N5,➡️,issho ni (一緒に（いっしょに）),together
N5,🛤️,itsumo (いつも),always; usually; habitually
N5,❌,janai / dewa nai (じゃない・ではない),to not be (am not; is not; are not)
N5,❓,ka (か),question particle
N5,↔️,ka~ka (か～か),or
N5,📅,kara (から),because; since; from
N5,➡️,kata (方（かた）),the way of doing something; how to do ~
N5,⚠️,kedo (けど),but; however; although ~
N5,⚠️,keredo mo (けれども),but; however; although ~
N5,⏳,mada (まだ),still; not yet
N5,⏳,mada ~te imasen (まだ～ていません),have not yet ~
N5,⏸️,made (まで),until; as far as; to (an extent); even ~
N5,⏮️,mae ni (前に（まえに）),before; in front of ~
N5,🙏,masen ka (ませんか),would you; do you want to; shall we ~
N5,👌,mashou (ましょう),let's ~; shall we ~
